# Codici catastali (Belfiore) degli Stati esteri -> nome Stato. Usati nel codice fiscale dei nati all'estero.
# Formato: <codice>:<stato>. Fonte: github.com/pmontrasio/codici-stati (taxcode_country_code + italian_country_name_1).
Z100:ALBANIA
Z101:ANDORRA
Z102:AUSTRIA
Z103:BELGIO
Z104:BULGARIA
Z106:CITTA' DEL VATICANO
Z107:DANIMARCA
Z108:FAER OER (ISOLE)
Z109:FINLANDIA
Z110:FRANCIA
Z112:GERMANIA
Z113:GIBILTERRA
Z114:GR. BRET. - IRLANDA DEL NORD (REGNO UNITO)
Z115:GRECIA
Z116:IRLANDA
Z117:ISLANDA
Z118:IUGOSLAVIA
Z119:LIECHTENSTEIN
Z120:LUSSEMBURGO
Z121:MALTA
Z123:MONACO
Z125:NORVEGIA
Z126:PAESI BASSI
Z127:POLONIA
Z128:PORTOGALLO
Z129:ROMANIA
Z130:SAN MARINO
Z131:SPAGNA
Z132:SVEZIA
Z133:SVIZZERA
Z134:UNGHERIA
Z138:UCRAINA
Z139:BIELORUSSIA=RUSSIA BIANCA
Z140:MOLDAVIA
Z144:ESTONIA
Z145:LETTONIA
Z146:LITUANIA
Z148:MACEDONIA
Z149:CROAZIA
Z150:SLOVENIA
Z153:BOSNIA ED ERZEGOVINA
Z154:RUSSIA=FEDERAZIONE RUSSA
Z155:SLOVACCA REPUBBLICA
Z156:CECA REPUBBLICA
Z200:AFGHANISTAN
Z203:ARABIA SAUDITA
Z204:BAHREIN
Z205:BHUTAN
Z206:MYANMAR = BIRMANIA
Z207:BRUNEI
Z208:CAMBOGIA
Z209:SRI LANKA
Z210:CINA REPUBBLICA POPOLARE
Z211:CIPRO
Z212:COCOS (ISOLE)
Z213:COREA DEL SUD
Z214:COREA DEL NORD
Z215:EMIRATI ARABI UNITI
Z216:FILIPPINE
Z217:TAIWAN = FORMOSA 
Z219:GIAPPONE
Z220:GIORDANIA
Z221:HONG KONG
Z222:INDIA
Z223:INDONESIA
Z224:IRAN
Z225:IRAQ
Z226:ISRAELE
Z227:KUWAIT
Z228:LAOS
Z229:LIBANO
Z231:MACAO
Z232:MALDIVE
Z233:MONGOLIA
Z234:NEPAL
Z235:OMAN
Z236:PAKISTAN
Z237:QATAR
Z240:SIRIA
Z241:THAILANDIA
Z242:TIMOR (ISOLA) - ORIENTALE
Z243:TURCHIA
Z246:YEMEN
Z248:SINGAPORE
Z249:BANGLADESH
Z251:VIETNAM
Z252:ARMENIA
Z253:AZERBAIGIAN
Z254:GEORGIA
Z255:KAZAKISTAN
Z256:KIRGHIZISTAN
Z257:TAGIKISTAN
Z258:TURKEMENISTAN
Z259:UZBEKISTAN
Z300:NAMIBIA
Z301:ALGERIA
Z302:ANGOLA
Z305:BURUNDI
Z306:CAMERUN
Z307:CAPO VERDE
Z308:CENTRAFRICANA REPUBBLICA
Z309:CIAD
Z310:COMORE
Z311:CONGO REPUBBLICA POPOLARE
Z312:CONGO REPUBBLICA DEMOCRATICA
Z313:COSTA D'AVORIO
Z314:BENIN
Z315:ETIOPIA
Z316:GABON
Z317:GAMBIA
Z318:GHANA
Z319:GUINEA REPUBBLICA POPOLARE
Z320:GUINEA BISSAU
Z321:GUINEA EQUATORIALE
Z322:KENYA
Z325:LIBERIA
Z326:LIBIA
Z327:MADAGASCAR
Z328:MALAWI
Z329:MALI
Z330:MAROCCO
Z331:MAURITANIA
Z332:MAURIZIO (ISOLE)
Z333:MOZAMBICO
Z334:NIGER
Z335:NIGERIA
Z336:EGITTO
Z337:ZIMBABWE
Z338:RUANDA
Z340:SANT’ELENA
Z341:SAO TOME' E PRINCIPE (ISOLE)
Z342:SEICELLE (ISOLE)
Z343:SENEGAL
Z344:SIERRA LEONE
Z345:SOMALIA
Z347:SUDAFRICANA REPUBBLICA
Z348:SUDAN
Z349:SWAZILAND
Z351:TOGO
Z352:TUNISIA
Z353:UGANDA
Z354:BURKINA
Z355:ZAMBIA
Z357:TANZANIA
Z358:BOTSWANA
Z359:LESOTHO
Z360:MAYOTTE
Z361:GIBUTI
Z368:ERITREA
Z400:BERMUDA (ISOLE)
Z401:CANADA
Z402:GROENLANDIA
Z403:SAINT PIERRE ET MIQUELON (ISOLE)
Z404:STATI UNITI D'AMERICA
Z501:ANTILLE OLANDESI (SUDAMERICANE)
Z502:BAHAMA
Z503:COSTA RICA
Z504:CUBA
Z505:DOMINICANA REPUBBLICA
Z506:EL SALVADOR
Z507:GIAMAICA
Z508:GUADALUPA
Z509:GUATEMALA
Z510:HAITI
Z511:HONDURAS
Z512:BELIZE
Z513:MARTINICA
Z514:MESSICO
Z515:NICARAGUA
Z516:PANAMA'
Z518:PUERTO RICO (STATO LIBERO ASSOCIATO)
Z519:TURKS E CAICOS (ISOLE)
